invoice_id,customer_id,customer_industry,customer_segment,customer_credit_score,invoice_amount,issue_date,due_date,payment_date,payment_delay_days,is_delayed,due_days,avg_payment_delay_history,payment_consistency,quarter,month,is_weekend_issue
INV_100059,CUST_1094,Construction,Average,640,1819.68,2023-11-26,2023-12-26,2024-01-11,16.7,1,30,22.0,0.88,4,11,1
INV_100060,CUST_8783,Professional Services,Average,671,2633.8,2023-12-22,2024-02-20,2024-03-06,15.6,1,60,10.0,0.585,4,12,0
INV_100061,CUST_5146,Manufacturing,Excellent,797,4608.52,2023-07-01,2023-08-15,2023-08-15,-0.9,0,45,4.5,0.884,3,7,1
INV_100062,CUST_9393,Construction,Good,744,10887.0,2023-03-31,2023-05-30,2023-06-03,4.8,1,60,13.2,0.871,1,3,0
INV_100063,CUST_5971,Retail,Average,657,11300.68,2023-06-10,2023-07-10,2023-07-23,13.2,1,30,12.0,0.893,2,6,1
INV_100064,CUST_1966,Manufacturing,Average,646,31431.93,2023-11-23,2023-12-23,2024-01-06,14.1,1,30,15.0,0.861,4,11,0
INV_100065,CUST_5524,Professional Services,Good,692,18790.95,2023-07-13,2023-08-12,2023-08-13,1.8,1,30,6.0,0.96,3,7,0
INV_100066,CUST_9038,Technology,Good,664,1649.38,2023-03-28,2023-05-27,2023-06-05,9.4,1,60,4.8,0.322,1,3,0
INV_100067,CUST_9519,Retail,Average,648,9967.35,2023-09-21,2023-10-06,2023-10-21,15.1,1,15,12.0,0.487,3,9,0
INV_100068,CUST_7612,Healthcare,Poor,495,67347.72,2023-10-30,2023-11-29,2023-12-21,22.0,1,30,27.0,0.946,4,10,0
INV_100069,CUST_1804,Healthcare,Poor,539,5254.37,2023-12-08,2024-01-22,2024-02-21,30.5,1,45,27.0,0.664,4,12,0
INV_100070,CUST_3573,Technology,Average,593,19769.92,2023-08-23,2023-09-22,2023-09-30,8.3,1,30,8.0,0.919,3,8,0
INV_100071,CUST_6475,Manufacturing,Average,650,19170.15,2023-03-28,2023-04-27,2023-05-09,12.3,1,30,15.0,0.66,1,3,0
INV_100072,CUST_9801,Professional Services,Average,591,4902.76,2023-05-10,2023-06-09,2023-06-20,11.4,1,30,10.0,0.811,2,5,0
INV_100073,CUST_6490,Retail,Excellent,759,6951.86,2023-06-01,2023-07-31,2023-08-03,4.0,1,60,3.6,0.871,2,6,0
INV_100074,CUST_9942,Technology,Good,695,12701.84,2023-03-14,2023-03-29,2023-03-29,0.1,1,15,4.8,0.864,1,3,0
INV_100075,CUST_2639,Technology,Average,630,5600.76,2023-11-01,2023-12-01,2023-12-06,5.6,1,30,8.0,0.783,4,11,0
INV_100076,CUST_8982,Technology,Average,608,37930.94,2023-07-17,2023-09-15,2023-09-24,9.1,1,60,8.0,0.858,3,7,0
INV_100077,CUST_4993,Technology,Average,622,13848.99,2023-11-11,2024-01-10,2024-01-16,6.5,1,60,8.0,0.846,4,11,1
INV_100078,CUST_4042,Professional Services,Excellent,786,2901.75,2023-05-11,2023-06-10,2023-06-20,10.1,1,30,3.0,0.878,2,5,0
INV_100079,CUST_9230,Manufacturing,Average,628,338.08,2023-04-18,2023-05-18,2023-06-01,14.8,1,30,15.0,0.661,2,4,0
INV_100080,CUST_5346,Manufacturing,Risky,307,35164.95,2023-11-14,2023-12-14,2024-01-09,26.9,1,30,30.0,0.85,4,11,0
INV_100081,CUST_5361,Healthcare,Risky,454,5650.88,2023-06-07,2023-07-22,2023-08-09,18.4,1,45,36.0,0.935,2,6,0
INV_100082,CUST_9623,Professional Services,Average,667,3720.96,2023-07-17,2023-09-15,2023-09-23,8.5,1,60,10.0,0.901,3,7,0
INV_100083,CUST_8878,Retail,Poor,536,6947.56,2023-08-29,2023-10-28,2023-11-06,9.9,1,60,18.0,0.884,3,8,0
INV_100084,CUST_8214,Construction,Excellent,840,4176.93,2023-04-30,2023-06-14,2023-06-19,5.8,1,45,6.6,0.923,2,4,1
INV_100085,CUST_2380,Technology,Poor,610,7458.97,2023-01-25,2023-02-24,2023-03-04,8.2,1,30,12.0,0.794,1,1,0
INV_100086,CUST_6370,Healthcare,Good,697,24076.55,2023-11-19,2023-12-19,2023-12-28,9.5,1,30,10.8,0.889,4,11,1
INV_100087,CUST_2312,Retail,Poor,520,4640.57,2023-02-14,2023-03-16,2023-03-24,8.8,1,30,18.0,0.864,1,2,0
INV_100088,CUST_7150,Retail,Poor,515,13385.18,2023-01-12,2023-01-27,2023-02-08,12.7,1,15,18.0,0.892,1,1,0
INV_100089,CUST_2136,Construction,Average,629,5068.87,2023-03-15,2023-04-14,2023-04-25,11.5,1,30,22.0,0.9,1,3,0
INV_100090,CUST_6084,Healthcare,Average,618,5241.96,2023-07-12,2023-07-27,2023-08-09,13.7,1,15,18.0,0.784,3,7,0
INV_100091,CUST_1686,Manufacturing,Risky,341,31695.36,2023-02-27,2023-03-14,2023-03-31,17.4,1,15,30.0,0.943,1,2,0
INV_100092,CUST_9707,Professional Services,Average,618,14135.84,2023-03-25,2023-04-24,2023-05-04,10.4,1,30,10.0,0.683,1,3,1
INV_100093,CUST_1988,Retail,Risky,317,3176.83,2023-10-08,2023-11-22,2023-12-11,19.5,1,45,24.0,0.777,4,10,1
INV_100094,CUST_2607,Healthcare,Average,662,14071.61,2023-12-15,2024-01-14,2024-01-31,17.7,1,30,18.0,0.859,4,12,0
INV_100095,CUST_8725,Healthcare,Risky,300,1587.75,2023-11-15,2023-12-15,2024-01-17,33.8,1,30,36.0,0.763,4,11,0
INV_100096,CUST_5167,Retail,Risky,307,27673.37,2023-10-16,2023-12-15,2023-12-28,13.1,1,60,24.0,0.886,4,10,0
INV_100097,CUST_7731,Retail,Average,657,6215.76,2023-12-19,2024-01-18,2024-01-27,9.2,1,30,12.0,0.93,4,12,0
INV_100098,CUST_7732,Technology,Good,687,4082.99,2023-11-01,2023-12-31,2024-01-06,6.2,1,60,4.8,0.797,4,11,0
INV_100099,CUST_7917,Retail,Excellent,808,23723.75,2023-11-14,2023-12-14,2023-12-19,5.0,1,30,3.6,0.89,4,11,0
INV_100100,CUST_1899,Retail,Poor,497,5200.83,2023-01-12,2023-02-11,2023-02-27,16.4,1,30,18.0,0.64,1,1,0
INV_100101,CUST_4638,Technology,Poor,526,64411.78,2023-05-30,2023-06-29,2023-07-09,10.4,1,30,12.0,0.899,2,5,0
INV_100102,CUST_7236,Healthcare,Good,736,865.06,2023-12-30,2024-02-13,2024-02-19,6.0,1,45,10.8,0.879,4,12,1
INV_100103,CUST_5703,Manufacturing,Poor,526,16642.93,2023-08-31,2023-09-30,2023-10-18,18.8,1,30,22.5,0.858,3,8,0
INV_100104,CUST_3958,Retail,Average,618,7858.37,2023-11-14,2023-11-29,2023-12-13,14.5,1,15,12.0,0.818,4,11,0
INV_100105,CUST_4814,Technology,Average,679,8268.94,2023-06-13,2023-08-12,2023-08-19,7.4,1,60,8.0,0.567,2,6,0
INV_100106,CUST_1629,Retail,Poor,512,112162.09,2023-01-01,2023-01-31,2023-02-09,9.6,1,30,18.0,0.968,1,1,1
INV_100107,CUST_7052,Healthcare,Excellent,795,27898.83,2023-04-18,2023-05-18,2023-05-24,6.5,1,30,5.4,0.53,2,4,0
INV_100108,CUST_1968,Manufacturing,Risky,339,3997.74,2023-10-03,2023-12-02,2023-12-19,17.8,1,60,30.0,0.918,4,10,0
INV_100109,CUST_8473,Retail,Excellent,773,2848.76,2023-05-06,2023-06-05,2023-06-09,4.2,1,30,3.6,0.676,2,5,1
INV_100110,CUST_5470,Manufacturing,Good,696,23019.14,2023-08-06,2023-09-05,2023-09-16,11.1,1,30,9.0,0.522,3,8,1
INV_100111,CUST_8705,Manufacturing,Good,671,10064.55,2023-10-14,2023-11-13,2023-11-21,9.0,1,30,9.0,0.784,4,10,1
INV_100112,CUST_4291,Technology,Excellent,832,56187.72,2023-11-20,2023-12-20,2023-12-24,4.1,1,30,2.4,0.779,4,11,0
INV_100113,CUST_5114,Professional Services,Poor,555,1621.92,2023-03-06,2023-04-05,2023-04-17,12.7,1,30,15.0,0.893,1,3,0
INV_100114,CUST_6592,Construction,Good,700,58128.9,2023-11-26,2024-01-10,2024-01-25,15.2,1,45,13.2,0.927,4,11,1
INV_100115,CUST_7471,Retail,Average,647,27637.51,2023-10-29,2023-12-13,2023-12-13,1.0,1,45,12.0,0.934,4,10,1
INV_100116,CUST_6243,Retail,Excellent,772,3278.83,2023-02-21,2023-03-23,2023-03-24,1.6,1,30,3.6,0.834,1,2,0
INV_100117,CUST_8311,Healthcare,Average,627,2274.77,2023-04-18,2023-05-18,2023-06-04,17.3,1,30,18.0,0.56,2,4,0
INV_100118,CUST_7441,Technology,Average,655,9416.98,2023-05-21,2023-06-20,2023-06-24,4.9,1,30,8.0,0.754,2,5,1
INV_100119,CUST_4097,Professional Services,Average,611,11850.09,2023-12-13,2024-01-27,2024-02-11,15.7,1,45,10.0,0.683,4,12,0
INV_100120,CUST_4273,Retail,Poor,588,15202.81,2023-08-14,2023-09-13,2023-09-22,9.1,1,30,18.0,0.908,3,8,0
INV_100121,CUST_3852,Technology,Good,680,4202.71,2023-09-15,2023-10-15,2023-10-18,3.6,1,30,4.8,0.859,3,9,0
INV_100122,CUST_7780,Construction,Average,650,9926.36,2023-02-05,2023-02-20,2023-03-06,14.3,1,15,22.0,0.91,1,2,1
INV_100123,CUST_6472,Healthcare,Good,702,10253.77,2023-09-21,2023-11-05,2023-11-14,9.9,1,45,10.8,0.461,3,9,0
INV_100124,CUST_8426,Professional Services,Good,676,15835.23,2023-11-29,2023-12-29,2024-01-03,5.6,1,30,6.0,0.854,4,11,0
INV_100125,CUST_1632,Manufacturing,Excellent,784,2184.68,2023-01-05,2023-02-19,2023-02-22,3.1,1,45,4.5,0.603,1,1,0
INV_100126,CUST_5037,Technology,Average,623,18953.24,2023-05-22,2023-06-21,2023-06-29,8.3,1,30,8.0,0.863,2,5,0
INV_100127,CUST_3408,Manufacturing,Good,682,107677.06,2023-11-07,2023-12-07,2023-12-16,9.0,1,30,9.0,0.741,4,11,0
INV_100128,CUST_6435,Retail,Average,611,16028.59,2023-01-14,2023-01-29,2023-02-10,12.8,1,15,12.0,0.64,1,1,1
INV_100129,CUST_5225,Retail,Good,696,7863.35,2023-04-20,2023-06-04,2023-06-11,7.5,1,45,7.2,0.824,2,4,0
INV_100130,CUST_2048,Retail,Good,699,8673.09,2023-10-15,2023-11-14,2023-11-20,6.7,1,30,7.2,0.809,4,10,1
INV_100131,CUST_6777,Construction,Poor,581,2540.66,2023-01-05,2023-02-19,2023-03-11,20.9,1,45,33.0,0.91,1,1,0
INV_100132,CUST_4850,Technology,Excellent,811,3881.27,2023-03-21,2023-04-20,2023-04-20,0.6,1,30,2.4,0.864,1,3,0
INV_100133,CUST_6671,Healthcare,Average,630,14253.01,2023-04-26,2023-05-26,2023-06-09,14.3,1,30,18.0,0.864,2,4,0
INV_100134,CUST_2549,Retail,Average,672,5065.06,2023-03-20,2023-04-19,2023-04-27,8.7,1,30,12.0,0.784,1,3,0
INV_100135,CUST_7356,Manufacturing,Good,729,1935.9,2023-02-21,2023-03-23,2023-03-29,6.6,1,30,9.0,0.763,1,2,0
INV_100136,CUST_4493,Retail,Good,733,31913.73,2023-03-01,2023-03-16,2023-03-18,2.2,1,15,7.2,0.813,1,3,0
INV_100137,CUST_9123,Manufacturing,Poor,518,12578.55,2023-12-09,2024-01-08,2024-02-02,25.2,1,30,22.5,0.656,4,12,1
INV_100138,CUST_7230,Construction,Average,605,1609.13,2023-05-19,2023-07-18,2023-07-31,13.1,1,60,22.0,0.778,2,5,0
INV_100139,CUST_9964,Retail,Good,691,5501.54,2023-11-20,2024-01-04,2024-01-08,4.7,1,45,7.2,0.925,4,11,0
INV_100140,CUST_7910,Manufacturing,Average,622,50724.39,2023-10-15,2023-11-14,2023-11-30,16.8,1,30,15.0,0.655,4,10,1
INV_100141,CUST_8569,Retail,Excellent,804,4386.38,2023-08-01,2023-08-31,2023-08-31,-0.1,0,30,3.6,0.892,3,8,0
INV_100142,CUST_6341,Retail,Average,639,23536.76,2023-08-24,2023-09-08,2023-09-17,9.7,1,15,12.0,0.926,3,8,0
INV_100143,CUST_8003,Professional Services,Risky,329,7973.98,2023-03-29,2023-04-28,2023-05-15,17.1,1,30,20.0,0.748,1,3,0
INV_100144,CUST_2376,Retail,Poor,550,26966.29,2023-08-17,2023-09-16,2023-10-01,15.9,1,30,18.0,0.734,3,8,0
INV_100145,CUST_1514,Technology,Average,670,30329.8,2023-10-29,2023-11-28,2023-12-01,3.3,1,30,8.0,0.849,4,10,1
INV_100146,CUST_6132,Manufacturing,Good,698,3159.35,2023-01-20,2023-02-19,2023-02-27,8.2,1,30,9.0,0.812,1,1,0
INV_100147,CUST_2124,Professional Services,Poor,556,46566.42,2023-12-25,2024-01-09,2024-01-17,8.1,1,15,15.0,0.95,4,12,0
INV_100148,CUST_3563,Technology,Average,611,5540.36,2023-09-11,2023-10-11,2023-10-20,9.8,1,30,8.0,0.893,3,9,0
INV_100149,CUST_7354,Technology,Average,618,4480.49,2023-06-22,2023-07-22,2023-07-25,3.2,1,30,8.0,0.838,2,6,0
INV_100150,CUST_9667,Healthcare,Excellent,786,5326.58,2023-07-17,2023-09-15,2023-09-19,4.8,1,60,5.4,0.764,3,7,0
INV_100151,CUST_6624,Technology,Risky,360,4023.49,2023-11-16,2023-12-16,2023-12-29,13.7,1,30,16.0,0.667,4,11,0
INV_100152,CUST_4331,Manufacturing,Poor,537,12403.5,2023-07-07,2023-08-06,2023-08-24,18.1,1,30,22.5,0.594,3,7,0
INV_100153,CUST_2431,Technology,Risky,395,2245.98,2023-08-05,2023-09-19,2023-09-23,4.2,1,45,16.0,0.882,3,8,1
INV_100154,CUST_3643,Construction,Poor,586,8781.38,2023-07-18,2023-08-17,2023-09-22,36.8,1,30,33.0,0.469,3,7,0
INV_100155,CUST_7285,Healthcare,Poor,547,4151.66,2023-12-11,2024-02-09,2024-02-29,20.3,1,60,27.0,0.842,4,12,0
INV_100156,CUST_7304,Technology,Good,747,12699.57,2023-03-02,2023-04-16,2023-04-20,4.8,1,45,4.8,0.561,1,3,0
INV_100157,CUST_2633,Professional Services,Average,687,2102.43,2023-11-26,2023-12-26,2024-01-04,10.0,1,30,10.0,0.889,4,11,1
INV_100158,CUST_9174,Professional Services,Good,702,626.56,2023-10-04,2023-11-03,2023-11-06,3.5,1,30,6.0,0.893,4,10,0
INV_100159,CUST_6774,Professional Services,Poor,566,54128.32,2023-03-07,2023-03-22,2023-04-06,15.9,1,15,15.0,0.693,1,3,0
INV_100160,CUST_3274,Healthcare,Average,608,1589.41,2023-09-25,2023-10-25,2023-11-02,8.7,1,30,18.0,0.974,3,9,0
INV_100161,CUST_9676,Healthcare,Poor,579,295.45,2023-09-25,2023-10-25,2023-11-11,17.8,1,30,27.0,0.961,3,9,0
INV_100162,CUST_1282,Retail,Good,704,20705.59,2023-04-11,2023-05-11,2023-05-17,6.4,1,30,7.2,0.899,2,4,0
INV_100163,CUST_3591,Professional Services,Excellent,764,2264.54,2023-04-12,2023-06-11,2023-06-14,3.9,1,60,3.0,0.646,2,4,0
INV_100164,CUST_4864,Construction,Average,619,70930.19,2023-12-30,2024-01-29,2024-02-28,30.9,1,30,22.0,0.688,4,12,1
INV_100165,CUST_1587,Manufacturing,Poor,588,3951.93,2023-02-03,2023-03-05,2023-03-28,23.7,1,30,22.5,0.679,1,2,0
INV_100166,CUST_3326,Manufacturing,Average,665,4505.64,2023-09-05,2023-09-20,2023-09-30,10.9,1,15,15.0,0.842,3,9,0
INV_100167,CUST_7144,Professional Services,Poor,563,46608.88,2023-02-08,2023-03-25,2023-04-03,9.2,1,45,15.0,0.894,1,2,0
INV_100168,CUST_5741,Manufacturing,Average,615,2585.77,2023-05-27,2023-07-26,2023-08-02,7.9,1,60,15.0,0.919,2,5,1
INV_100169,CUST_9472,Retail,Average,638,14998.82,2023-10-02,2023-11-16,2023-11-23,7.9,1,45,12.0,0.818,4,10,0
INV_100170,CUST_8230,Construction,Risky,368,12178.38,2023-11-13,2023-11-28,2023-12-31,33.7,1,15,44.0,0.906,4,11,0
INV_100171,CUST_7816,Professional Services,Excellent,796,25345.82,2023-04-30,2023-05-30,2023-06-05,6.9,1,30,3.0,0.968,2,4,1
INV_100172,CUST_3479,Construction,Poor,541,1861.02,2023-12-23,2024-01-22,2024-02-24,33.3,1,30,33.0,0.783,4,12,1
INV_100173,CUST_4516,Construction,Excellent,752,316.12,2023-11-28,2024-01-27,2024-02-03,7.9,1,60,6.6,0.817,4,11,0
INV_100174,CUST_7748,Technology,Good,692,8870.8,2023-01-28,2023-02-27,2023-02-26,-1.2,0,30,4.8,0.765,1,1,1
INV_100175,CUST_1193,Construction,Risky,441,9204.19,2023-10-10,2023-11-09,2023-12-07,28.7,1,30,44.0,0.841,4,10,0
INV_100176,CUST_3800,Technology,Good,718,32559.3,2023-07-09,2023-08-23,2023-08-26,3.8,1,45,4.8,0.864,3,7,1
INV_100177,CUST_1340,Healthcare,Good,746,4036.23,2023-01-17,2023-02-16,2023-02-24,8.8,1,30,10.8,0.932,1,1,0
INV_100178,CUST_6823,Technology,Excellent,751,47890.94,2023-03-13,2023-05-12,2023-05-12,-0.4,0,60,2.4,0.881,1,3,0
INV_100179,CUST_7246,Construction,Good,755,2984.68,2023-03-23,2023-04-07,2023-04-08,1.5,1,15,13.2,0.891,1,3,0
INV_100180,CUST_1331,Healthcare,Poor,502,10708.92,2023-07-29,2023-08-28,2023-09-25,28.5,1,30,27.0,0.585,3,7,1
INV_100181,CUST_1770,Technology,Good,631,3885.76,2023-01-02,2023-02-01,2023-02-06,5.0,1,30,4.8,0.691,1,1,0
INV_100182,CUST_5008,Professional Services,Excellent,764,9816.58,2023-08-11,2023-09-10,2023-09-09,-1.4,0,30,3.0,0.97,3,8,0
INV_100183,CUST_2130,Technology,Excellent,774,1492.74,2023-10-15,2023-11-29,2023-12-02,3.1,1,45,2.4,0.799,4,10,1
INV_100184,CUST_4134,Healthcare,Poor,529,27974.69,2023-06-16,2023-07-16,2023-08-04,19.2,1,30,27.0,0.973,2,6,0
INV_100185,CUST_7564,Construction,Average,639,37360.47,2023-11-01,2023-12-01,2023-12-16,15.5,1,30,22.0,0.982,4,11,0
INV_100186,CUST_2054,Manufacturing,Poor,497,6780.23,2023-02-20,2023-03-07,2023-03-26,19.9,1,15,22.5,0.735,1,2,0
INV_100187,CUST_7628,Construction,Good,732,1277.17,2023-10-05,2023-11-04,2023-11-08,5.0,1,30,13.2,0.789,4,10,0
INV_100188,CUST_9556,Technology,Average,635,1783.36,2023-10-27,2023-12-11,2023-12-15,4.3,1,45,8.0,0.65,4,10,0
INV_100189,CUST_7626,Retail,Good,676,23845.67,2023-09-07,2023-10-07,2023-10-10,3.6,1,30,7.2,0.774,3,9,0
INV_100190,CUST_4730,Technology,Average,659,31907.36,2023-09-03,2023-10-03,2023-10-06,3.7,1,30,8.0,0.968,3,9,1
INV_100191,CUST_1882,Healthcare,Average,621,5345.66,2023-07-02,2023-08-01,2023-08-10,9.9,1,30,18.0,0.812,3,7,1
